org_id,org_name,description,who_they_serve,cause_area,neighborhood,address
36,Apna Ghar,Domestic violence services for immigrant survivors.,Immigrant survivors,Safety,Uptown,"Uptown, Chicago, IL"
37,Connections for Abused Women and their Children,Shelter and support for survivors and kids.,Survivors and their children,Safety,Humboldt Park,"Humboldt Park, Chicago, IL"
38,Chicago Books to Women in Prison,Sends free books to incarcerated women.,Incarcerated women,Justice,Pilsen,"Pilsen, Chicago, IL"
39,Access Living,"Disability rights, services, and independent living.",People with disabilities,Disability,West Loop,"West Loop, Chicago, IL"
40,Special Olympics Chicago,Year-round sports for athletes with disabilities.,Athletes with intellectual disabilities,Disability,Chicagoland,Chicagoland (multiple sites)
41,Best Buddies Illinois,Friendship and jobs for people with disabilities.,People with intellectual and developmental disabilities,Disability,Chicagoland,Chicagoland (multiple sites)
42,Leave No Veteran Behind,Employment and support for veterans.,Veterans,Veterans,Bronzeville,"Bronzeville, Chicago, IL"
43,Old Town School of Folk Music,Community music education for all ages.,Music learners,Arts,Lincoln Square,"Lincoln Square, Chicago, IL"
44,Chicago Public Library Foundation,Supports library programs across the city.,Library patrons and readers,Education,Loop,"Loop, Chicago, IL"
45,Chicago Votes,Youth-led democracy and voting access.,Young voters,Civic,Chicagoland,Chicagoland (multiple sites)
46,League of Women Voters of Chicago,Nonpartisan voter education and engagement.,Voters,Civic,Loop,"Loop, Chicago, IL"
47,Center on Halsted,Midwest's largest LGBTQ community center.,LGBTQ+ Chicagoans,Community,Lakeview,"Lakeview, Chicago, IL"
48,Cabrini Green Legal Aid,Free legal help and record clearing.,People with records and low income,Justice,Loop,"Loop, Chicago, IL"
49,Chicago Community Bond Fund,Pays bond for people who can't afford it.,People held pretrial,Justice,Chicagoland,Chicagoland (multiple sites)
50,Cara Collective,Job training and coaching for people facing poverty.,People facing poverty and homelessness,Workforce,Loop,"Loop, Chicago, IL"
